id,audio,answer,at,user
0j0yjiRCSAcaKcPpIwoC,6_5.wav,ㅡ,2023-09-28T03:53:16.474Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0jKN3DMvx8bie4wEWuJ9,1_1.wav,ㅜ,2023-09-27T05:37:06.565Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0kG9asRabgueZC8CUx02,2_8.wav,ㅏ,2023-09-27T14:34:46.406Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0kWuvw45fwLWSQyGUU9N,1_3.wav,ㅜ,2023-09-30T11:52:16.817Z,QWudxVycl7NxgKUBRMziC4fyIFm1
0kgLjrMct338Ce95sV8x,5_8.wav,ㅔ,2023-09-28T11:54:22.552Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0klyKjC95XuapAbGTxeC,9_4.wav,ㅓ,2023-10-01T14:27:01.769Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0lyBEAeBEcgEDmjkJDHb,7_6.wav,ㅓ,2023-09-28T11:17:32.071Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0m5wpAQUsJM7drD3cHZp,10_7.wav,ㅏ,2023-09-19T14:08:27.995Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0nN2tmXphbEFjQgBbPlo,6_10.wav,ㅔ,2023-09-27T13:23:08.141Z,yWAbgGiM1DcUw2sCCGIGkU1JguX2
0nzb7KnqV5oMmjDr0jHc,8_7.wav,ㅐ,2023-09-29T12:32:33.577Z,QWudxVycl7NxgKUBRMziC4fyIFm1
0okD0sfDn85y1qau9qBF,6_8.wav,ㅔ,2023-09-27T16:05:21.810Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0ouljuNOUazGVHy9N5E0,3_8.wav,ㅣ,2023-09-28T14:41:05.925Z,LYrFonkX4AVb0UQrELmpCFA72On2
0pICkosedsbUvfp2GGRS,4_5.wav,ㅡ,2023-09-29T12:26:56.461Z,QWudxVycl7NxgKUBRMziC4fyIFm1
0q52opJrDFsg0iIWISiG,5_4.wav,ㅡ,2023-09-27T06:04:27.905Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0qfINSxoxKoDjdSZSY0U,9_9.wav,ㅐ,2023-09-29T14:50:04.820Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0qfNRfFduP28573Cn1mv,2_9.wav,ㅣ,2023-09-27T16:38:54.356Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0qsjq07st0T5KPv1s6Jv,3_10.wav,ㅣ,2023-09-18T22:55:52.738Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0qzfDCqo1qJ8YVPYSMR5,9_5.wav,ㅏ,2023-09-28T15:42:53.814Z,QWudxVycl7NxgKUBRMziC4fyIFm1
0r6K0vCvq4B0Y7AT0geB,1_6.wav,ㅡ,2023-09-27T01:48:21.014Z,uwgxF6VQmggSKpqimilzt8CCpM42
0rNmAVZhYr4labAkMmVM,1_7.wav,ㅡ,2023-09-27T16:11:33.298Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0rqBsgJQlOGuJbNnF6r1,4_3.wav,ㅗ,2023-09-29T17:24:07.684Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0siN8kEVO7QPTpXq7yEb,6_7.wav,ㅔ,2023-09-27T14:40:26.688Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0tbY7c59Qus9vopJJt6T,3_5.wav,ㅡ,2023-09-26T12:39:43.483Z,uwgxF6VQmggSKpqimilzt8CCpM42
0tfLS62QL4sLjXOvW47j,6_6.wav,ㅔ,2023-09-23T15:51:07.220Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0ubvabTUz1vimXHTBM5y,2_7.wav,ㅣ,2023-09-29T14:10:03.797Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0uhDCAqu6Qrg9i8R5Nw6,10_3.wav,ㅏ,2023-09-30T14:13:38.196Z,LYrFonkX4AVb0UQrELmpCFA72On2
0uoZtGQlHRItzyJQ3gWt,2_10.wav,ㅣ,2023-09-27T06:01:37.140Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0v0tv5kg13OuDCqYRSQE,7_10.wav,ㅐ,2023-10-02T00:56:48.665Z,Do457fhfRKex3AtI5dQ8O2U7WEJ3
0vJxK61LKwkiv1OdIKEG,10_7.wav,ㅏ,2023-09-28T13:35:00.527Z,LYrFonkX4AVb0UQrELmpCFA72On2
0vc0SNawcWOrJnJQsxj4,9_4.wav,ㅏ,2023-09-23T15:49:09.405Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0vryWqYH5S1OfFVHBJLu,9_6.wav,ㅏ,2023-09-29T14:21:15.738Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0vxEOV3Ezdycu9wUeHEt,3_1.wav,ㅗ,2023-10-01T16:55:47.465Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
0wiXqOOQl38bpLTVaX07,6_7.wav,ㅐ,2023-09-27T05:59:37.661Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0xPKKRJWhd4WuOOs5tNp,4_7.wav,ㅡ,2023-09-27T13:23:04.194Z,LYrFonkX4AVb0UQrELmpCFA72On2
0xUxtLEcsOdhhC1jAv7w,3_8.wav,ㅣ,2023-09-29T14:48:44.080Z,LYrFonkX4AVb0UQrELmpCFA72On2
0xX2vILnms0FoXfGGjdt,3_8.wav,ㅣ,2023-09-27T04:08:51.070Z,QWudxVycl7NxgKUBRMziC4fyIFm1
0xlSuib7d1dyCYmcaAWJ,6_8.wav,ㅔ,2023-09-28T00:25:00.332Z,uwgxF6VQmggSKpqimilzt8CCpM42
0y2MQINOVtbAQ1CTIPcc,10_5.wav,ㅏ,2023-09-27T05:48:49.370Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0yL6ahSUvHdTFq3E4Q1R,2_9.wav,ㅣ,2023-09-26T12:33:01.990Z,Do457fhfRKex3AtI5dQ8O2U7WEJ3
0yRwQ5bFgSGY1vroYkOV,4_5.wav,ㅡ,2023-09-27T14:26:18.485Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0yZe0aPgji9n9ZoEDOgi,10_2.wav,ㅓ,2023-10-02T00:56:53.401Z,Do457fhfRKex3AtI5dQ8O2U7WEJ3
0yZx2tD0GRSsR1mzL3Nm,7_9.wav,ㅐ,2023-10-01T13:37:58.974Z,uwgxF6VQmggSKpqimilzt8CCpM42
0zZhrTG6wcBMm2elI3br,1_2.wav,ㅜ,2023-09-30T12:49:29.535Z,LYrFonkX4AVb0UQrELmpCFA72On2
10MHjQyGVPMVQPKqzMC1,2_2.wav,ㅗ,2023-09-29T14:43:48.438Z,1tRUN17nz8SNpraO34mm0xJ2VS42
10pnK6nzVMV9G5vHsWNk,6_10.wav,ㅔ,2023-09-27T16:25:25.552Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
10q3rAmNHpwqIsZH6uuj,7_2.wav,ㅓ,2023-09-28T07:56:12.448Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
11CXfz6L71Tc2iVKzLYG,4_8.wav,ㅣ,2023-09-30T10:04:56.641Z,uwgxF6VQmggSKpqimilzt8CCpM42
11I82wf8eyFKUTrD0Gwd,8_7.wav,ㅓ,2023-09-30T15:04:52.480Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
